timestamp,user_id,variant,movie_id,rating,metadata
2025-12-24T18:14:56.753192,1,control,20,3,
2025-12-24T18:14:59.798679,1,control,18,5,
2025-12-24T18:15:55.406341,1,control,12,3,
2025-12-24T18:15:58.030611,1,control,20,1,
2025-12-24T18:15:59.643885,1,control,8,5,
2025-12-24T18:16:05.266817,1,control,16,3,
2025-12-24T18:16:32.510209,1,control,6,5,
2025-12-24T18:21:10.193953,1,control,7,3,
2025-12-24T18:21:31.972618,1,control,5,5,
2025-12-24T18:27:23.305003,1,control,17,5,
2025-12-24T18:27:27.078965,1,control,5,5,
2025-12-24T18:29:49.298914,2,treatment,9,3,
2025-12-24T21:07:04.909930,1,control,4,4,
2025-12-24T21:07:09.559346,1,control,18,3,
2025-12-24T21:07:14.206776,1,control,16,5,
2025-12-24T21:07:18.477287,1,control,12,5,
2025-12-24T21:07:22.182512,1,control,5,4,
2025-12-24T21:07:27.929475,1,control,8,3,
2025-12-24T21:07:36.759197,1,control,10,5,
2025-12-24T21:24:34.682244,1,control,20,4,
2026-01-14T23:31:27.817187,rung động,treatment,5,3,
2026-01-14T23:31:36.528870,rung động,treatment,11,5,
2026-01-14T23:31:47.121336,rung động,treatment,13,5,
2026-01-14T23:31:50.458451,rung động,treatment,8,1,
2026-01-14T23:31:53.479450,rung động,treatment,19,3,
2026-01-14T23:31:59.229221,rung động,treatment,28,5,
2026-01-14T23:32:17.009682,rung động,treatment,3,3,
2026-01-15T00:12:03.480174,lamthanhz,control,19,5,
2026-01-15T00:12:05.692754,lamthanhz,control,33,5,
2026-01-15T00:12:07.133288,lamthanhz,control,28,5,
2026-01-15T00:12:08.844451,lamthanhz,control,32,2,
2026-01-15T00:12:10.290042,lamthanhz,control,29,5,
2026-01-15T00:12:11.813372,lamthanhz,control,5,5,
2026-01-15T00:12:13.485065,lamthanhz,control,39,3,
2026-01-15T00:12:15.353082,lamthanhz,control,12,5,
2026-01-15T00:12:17.256250,lamthanhz,control,16,5,
2026-01-15T00:12:32.716887,lamthanhz,control,2,4,
2026-01-15T00:12:34.620105,lamthanhz,control,11,5,
2026-01-15T00:13:33.294789,lamthanhz,control,1,5,
2026-01-15T00:14:05.651525,lamthanhz,control,31,1,
2026-01-15T00:14:15.024239,lamthanhz,control,13,5,
2026-01-15T00:19:49.172188,tungjohn,control,68,5,
2026-01-15T00:19:51.256911,tungjohn,control,21,5,
2026-01-15T00:19:52.726680,tungjohn,control,63,1,
2026-01-15T00:19:54.423242,tungjohn,control,61,4,
2026-01-15T00:19:56.080224,tungjohn,control,49,5,
2026-01-15T00:19:58.088485,tungjohn,control,76,3,
2026-01-15T00:20:00.293814,tungjohn,control,10,5,
2026-01-15T00:56:32.560002,lam12,control,49,5,
2026-01-15T00:56:34.754562,lam12,control,58,5,
2026-01-15T00:56:39.690105,lam12,control,57,5,
2026-01-15T00:56:50.688295,345,treatment,44,5,
2026-01-15T00:56:52.432396,345,treatment,1,5,
2026-01-15T00:56:53.940195,345,treatment,4,5,
2026-01-15T00:56:55.777224,345,treatment,42,2,
2026-01-15T01:07:25.878942,ádf,treatment,45,5,
2026-01-15T01:07:27.360823,ádf,treatment,2,5,
2026-01-15T01:07:28.742140,ádf,treatment,43,5,
2026-01-15T01:07:30.145050,ádf,treatment,4,5,
2026-01-15T01:07:31.382999,ádf,treatment,47,5,
2026-01-15T01:07:32.987036,ádf,treatment,41,2,
2026-01-15T01:07:34.156599,ádf,treatment,3,5,
2026-01-15T01:34:37.133170,dsf,treatment,44,5,
2026-01-15T01:34:39.106058,dsf,treatment,1,2,
2026-01-15T09:34:37.217577,ádf,treatment,44,5,
2026-01-15T09:34:39.032713,ádf,treatment,3,5,
2026-01-15T10:51:12.624569,hgasfdg,control,120,5,
2026-01-15T10:51:14.789934,hgasfdg,control,42,4,
2026-01-15T10:51:16.786663,hgasfdg,control,48,5,
2026-01-15T10:51:18.854611,hgasfdg,control,3,5,
2026-01-15T10:51:22.590703,hgasfdg,control,35,5,
